index,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_Bajo,floor_Entreplanta exterior,floor_Entreplanta interior,floor_Semi-sótano exterior,floor_Semi-sótano interior,floor_Sótano exterior,floor_Sótano interior,buy_price
4124,0,0,0,115.0,4,2.0,1,1,1,0,1,0,0,40.3871008,-3.634472804869207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179000
4125,0,0,0,144.0,4,2.0,1,0,0,0,1,0,0,40.380284,-3.6691818,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,169999
4126,0,0,0,136.0,3,2.0,1,0,0,0,0,0,0,40.380284,-3.6691818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169999
4127,0,0,0,50.0,2,1.0,1,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
4128,0,0,0,90.0,3,1.0,1,1,0,1,0,0,0,40.380284,-3.6691818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000
4129,1,0,0,145.0,4,2.0,1,1,1,0,1,1,0,40.3914367,-3.6481261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209680
4130,0,0,0,67.0,3,1.0,1,0,0,0,0,0,0,40.3851802,-3.6584870993071865,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,154900
4131,0,0,0,64.0,3,1.0,1,0,0,0,1,0,0,40.3914367,-3.6481261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119840
4132,0,1,0,60.0,2,1.0,1,1,0,0,1,0,0,40.3871008,-3.634472804869207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140900
4133,0,1,0,56.0,2,1.0,1,0,0,0,0,0,0,40.398746100000004,-3.6581186076151115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,142500
4134,0,1,0,48.0,2,1.0,1,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105000
4135,0,0,0,55.0,2,1.0,1,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91500
4136,0,0,0,53.0,2,1.0,1,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106000
4137,0,1,0,52.0,2,1.0,1,0,0,0,0,0,0,40.398746100000004,-3.6581186076151115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000
4138,0,0,0,50.0,2,1.0,1,0,0,0,1,0,0,40.380284,-3.6691818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94900
4139,0,0,0,76.0,4,1.0,1,0,0,0,1,0,0,40.38943870000001,-3.6677411263176674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88000
4140,0,0,0,94.0,2,1.0,1,0,0,0,0,0,0,40.3851802,-3.6584870993071865,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,130000
4141,0,0,0,65.0,3,1.0,1,0,0,0,1,1,0,40.38943870000001,-3.6677411263176674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133000
4142,2,0,0,94.0,3,2.0,1,1,1,1,1,0,1,40.3871008,-3.634472804869207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,345000
4143,0,0,0,92.0,3,2.0,1,1,1,1,1,0,1,40.3851802,-3.6584870993071865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280000
4144,0,0,0,102.0,3,2.0,1,1,0,1,1,0,0,40.3871008,-3.634472804869207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000
4145,0,0,0,76.0,3,1.0,1,0,0,0,1,0,0,40.398746100000004,-3.6581186076151115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199000
4146,0,0,0,72.0,2,1.0,1,0,0,1,0,0,0,40.3851802,-3.6584870993071865,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162000
4147,0,0,0,56.0,3,1.0,1,1,0,0,0,0,0,40.38943870000001,-3.6677411263176674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000
4148,0,0,0,91.0,3,2.0,1,0,1,0,1,0,0,40.3851802,-3.6584870993071865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000
4149,0,0,0,63.0,2,1.0,1,0,0,0,1,0,0,40.3851802,-3.6584870993071865,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000
4150,1,0,0,135.0,3,2.0,1,1,1,1,1,0,1,40.398746100000004,-3.6581186076151115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,355000
4151,0,0,0,59.0,3,1.0,1,0,0,0,1,0,0,40.398746100000004,-3.6581186076151115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144700
4152,0,0,0,95.0,2,2.0,1,1,0,0,1,0,0,40.38943870000001,-3.6677411263176674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000
4153,0,0,0,53.0,2,1.0,1,0,0,0,0,1,0,40.3851802,-3.6584870993071865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89900
4154,0,0,0,55.0,2,1.0,1,0,0,0,0,0,0,40.398746100000004,-3.6581186076151115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,125000
4155,0,0,0,85.0,3,1.0,1,1,0,0,1,0,0,40.3914367,-3.6481261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000
4156,0,1,0,88.0,3,2.0,1,1,1,0,1,0,0,40.3851802,-3.6584870993071865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,220000
