,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
5402,0,0,65.0,2,1.0,3.0,1,0,0,0,1,0,0,40.4048009,-3.7452693,115000
5406,0,0,80.0,3,1.0,4.0,1,1,0,1,1,0,0,40.3856442,-3.760740564866897,220000
5410,1,0,63.0,2,1.0,5.0,1,1,0,0,0,0,0,40.3814589,-3.7803772000000007,135000
5413,0,0,75.0,2,1.0,4.0,1,1,0,0,0,0,0,40.4048009,-3.7452693,150000
5415,0,0,63.0,3,1.0,3.0,1,0,0,0,1,0,0,40.4048009,-3.7452693,132000
5416,0,0,65.0,3,1.0,1.0,1,1,0,0,1,0,0,40.3946832,-3.7682788,126000
5417,0,0,52.0,1,1.0,0.0,1,1,0,0,0,0,0,40.4048009,-3.7452693,157000
5420,0,0,73.0,2,1.0,0.5,1,0,0,0,0,0,0,40.4048009,-3.7452693,139000
5422,0,0,62.0,2,1.0,1.0,1,1,0,0,0,1,0,40.3856442,-3.760740564866897,145000
5425,0,0,65.0,2,1.0,1.0,1,0,0,0,1,0,0,40.3814589,-3.7803772000000007,132000
5431,0,0,47.0,1,1.0,1.0,1,0,0,0,1,0,1,40.4048009,-3.7452693,180000
5439,0,0,88.0,3,2.0,1.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,198000
5443,0,0,87.0,3,1.0,5.0,1,1,0,0,1,0,0,40.4048009,-3.7452693,275000
5447,0,0,74.0,2,1.0,2.0,1,0,0,0,1,0,0,40.4048009,-3.7452693,159000
5455,0,0,84.0,3,2.0,1.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,198000
5464,0,0,65.0,1,1.0,4.0,1,1,1,1,0,0,0,40.4048009,-3.7452693,220000
5468,1,0,76.0,3,1.0,4.0,1,1,0,0,0,0,0,40.4137225,-3.7271715,210000
5469,1,0,60.0,2,2.0,0.0,1,0,0,0,0,0,0,40.3814589,-3.7803772000000007,99000
