,neighborhood_id,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,buy_price,buy_price_by_area,latitude,longitude
4773,"Marroquina, Moratalaz(Madrid)",HouseType 1: Pisos,False,False,133.0,4,2.0,4,True,True,True,True,True,False,False,399000,3000,40.4107193,-3.6405684
4774,"Marroquina, Moratalaz(Madrid)",HouseType 1: Pisos,True,False,136.0,4,2.0,3,True,True,False,False,True,False,False,380000,2794,40.4107193,-3.6405684
4775,"Vinateros, Moratalaz(Madrid)",HouseType 1: Pisos,False,False,60.0,3,1.0,4,True,False,False,False,False,False,False,134900,2248,40.4051965,-3.6415467
4776,"Vinateros, Moratalaz(Madrid)",HouseType 1: Pisos,False,False,60.0,3,1.0,4,True,False,False,False,True,False,False,134900,2248,40.4051965,-3.6415467
4777,"Vinateros, Moratalaz(Madrid)",HouseType 1: Pisos,True,False,94.0,3,2.0,5,True,True,False,False,False,False,False,299000,3181,40.4051965,-3.6415467
4778,"Vinateros, Moratalaz(Madrid)",HouseType 1: Pisos,True,False,65.0,2,1.0,Bajo,True,True,False,False,True,False,False,139000,2138,40.4051965,-3.6415467
4779,"Fontarrón, Moratalaz(Madrid)",HouseType 1: Pisos,True,False,55.0,3,1.0,6,True,False,False,False,True,False,False,109000,1982,40.399161,-3.6462064
4780,"Vinateros, Moratalaz(Madrid)",HouseType 1: Pisos,True,False,64.0,3,1.0,Bajo,True,True,False,False,True,False,False,139900,2186,40.4051965,-3.6415467
4781,"Vinateros, Moratalaz(Madrid)",HouseType 1: Pisos,False,False,94.0,3,1.0,5,True,True,False,False,False,False,False,239000,2543,40.4051965,-3.6415467
4782,"Media Legua, Moratalaz(Madrid)",HouseType 4: Dúplex,False,False,94.0,4,3.0,6,True,True,False,False,True,False,False,299000,3181,40.412095199999996,-3.6570053361185666
4783,"Marroquina, Moratalaz(Madrid)",HouseType 1: Pisos,False,False,110.0,4,2.0,3,True,True,True,False,False,False,True,423000,3845,40.4107193,-3.6405684
4784,"Fontarrón, Moratalaz(Madrid)",HouseType 1: Pisos,True,False,100.0,4,2.0,1,True,False,False,True,False,False,False,195000,1950,40.399161,-3.6462064
