,house_type_id,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
10333,0,0,0,70.0,2,1.0,1.0,1,0,0,0,1,0,0,40.43737280000001,-3.6436099185322814,176000
10334,0,0,0,78.0,3,1.0,4.0,1,1,0,0,1,0,0,40.4350329,-3.644171,270000
10335,0,0,0,60.0,2,1.0,0.0,1,0,0,1,0,0,0,40.4350329,-3.644171,164000
10338,0,0,0,148.0,3,2.0,1.0,1,1,1,1,0,0,1,40.45087879999999,-3.655924108363301,850000
10339,0,0,0,60.0,1,1.0,1.0,1,1,0,1,0,1,0,40.4220402,-3.6517069,195000
10340,0,0,0,68.0,3,1.0,0.0,1,0,0,0,0,0,0,40.4350329,-3.644171,150000
10341,0,0,0,51.0,2,1.0,0.0,1,1,0,0,0,0,0,40.4350329,-3.644171,115000
10344,0,0,0,115.0,3,2.0,3.0,1,1,0,0,1,0,0,40.4350329,-3.644171,320000
10345,0,0,0,60.0,3,1.0,8.0,1,1,0,0,1,0,0,40.4426834,-3.6534541,195000
10346,0,0,0,130.0,4,2.0,2.0,1,0,1,0,1,0,1,40.4426834,-3.6534541,460000
10348,0,0,0,112.0,3,2.0,1.0,1,1,1,0,1,0,0,40.4426834,-3.6534541,285000
10349,0,0,0,34.0,1,1.0,0.0,1,0,0,0,0,0,0,40.4426834,-3.6534541,115000
10350,0,0,0,62.0,1,1.0,5.0,1,1,0,0,0,1,1,40.45824765,-3.6597056668499386,280000
10351,0,0,0,79.0,3,1.0,3.0,1,1,0,0,1,0,0,40.4350329,-3.644171,175000
10352,0,0,0,79.0,2,2.0,2.0,1,1,0,0,1,0,0,40.4220402,-3.6517069,250000
10353,0,1,0,100.0,3,1.0,1.0,0,1,0,0,0,0,0,40.4426834,-3.6534541,550000
10355,0,1,0,78.0,1,1.0,1.0,1,1,0,0,1,0,0,40.4220402,-3.6517069,230000
10358,0,0,0,97.0,2,2.0,1.0,1,1,0,1,1,0,0,40.4220402,-3.6517069,299000
10359,0,0,0,125.0,3,2.0,2.0,1,1,1,1,1,0,1,40.4426834,-3.6534541,630000
